IPEDS,BlkTotalStudents,HispTotalStudents,2017USNewstop65,2014MedSchool,VetSchool,TotalEnroll,GradEnroll,Sixyeargraduationrate,ACTSATAvg,FreshAdmitRate,FreshmenRetention,UGPellGrants,Bachelors,DoctProfess,TotalEGExpend,EGSt.FTE,StateAppropRev,TuitionFeeRev,RevfromState,RevfromTuitFees,fromStateTuition,Endowment,TotalResearchExpenditures000,StudentFacultyRatio,TotalFaculty,ARUFacultyAwards,WallSt.JourlRank,ST.FTE,TotalDegrees,TotalExpend,TotalRevenue,EnowmentSt.FTE,AGResearch000,TotalTenureTenureTrackFacutly,FacutlyFTE,UGwithLoans,UGAge25,TotalAge25,FullTime,FacultyAcademyMemb,UGTotalEnroll,GRTotalEnroll,FulltimeStudents,ParttimeStudents,UGEnrollAge25,GREnrollAge25,BachDegrees,MastersDegrees,DoctoralDegrees,ProfessDegrees,ACTSAT25,ACTSAT75,StateTuitSt.FTE,AcademicSupportExpenditures,StudentServicesExpenditures,EndowmentFigure,EndowmentperStudentFTE,TotalFaculty,TotalTenureTenureTrackFacutly
100751,11,4,46,0,0,37098,14,67,26.5,54,86,19,74,6,735249498,27602,146222914,452717202,14,45,59,798438258,58234,24,1867,4,398,33706,8390,930367041,1008832367,22735,0,897,1508,41,8,17,86,0,31958,5140,32010,5088,2590,3556,6195,1672,264,259,22,31,17770,667980131,19818,667980131,19818,1328,895
106397,5,7,64,0,0,26754,17,62,25.5,60,82,21,75,5,629994729,33107,205745146,189315846,25,23,47,898907868,133660,19,1333,5,427,23195,5997,767906927,834487120,37010,68084,790,1210,40,10,20,80,3,22159,4595,21415,5339,2132,3346,4482,1208,173,134,23,28,17032,929693370,40082,929693370,40082,1149,785
176017,13,3,64,0,0,23212,19,61,24.5,79,87,23,71,10,715423161,83424,281850140,228280647,14,12,26,600000000,94040,18,2162,1,325,21514,5137,1794778831,1978118684,27120,0,983,1913,44,9,20,89,0,18785,4427,20665,2547,1608,2924,3659,945,118,415,21,28,23712,666670997,30988,666670997,30988,1789,976
218663,10,4,49,1,0,33724,25,72,26.5,65,87,18,72,9,807992014,31428,117338183,381810874,11,37,48,655469462,208736,19,2285,8,256,30869,8588,970136051,1043044592,14820,4149,1000,1722,48,6,22,87,2,25237,8487,29441,4283,1482,5929,6210,1623,358,393,24,29,16170,484082093,15682,484082093,15682,1440,944
134097,8,17,38,1,0,40830,20,79,27.0,56,93,24,75,6,889846982,29414,361291258,251879420,32,22,54,584528857,256449,25,1932,2,226,37029,12751,1089192745,1128649111,15817,0,1080,1635,46,6,18,86,6,32706,8124,35129,5701,1967,5438,9604,2153,424,393,25,29,16559,624556561,16867,624556561,16867,1486,1067
207500,5,8,51,0,0,27428,22,66,26.5,78,86,21,67,6,680320000,38989,147149000,278121000,16,30,47,1521000000,242367,18,1447,3,299,23227,6358,905616000,912800000,60019,0,949,1276,35,12,27,77,1,21297,6131,21127,6301,2607,4738,4279,1713,218,148,24,29,18309,965937000,41586,965937000,41586,1191,948
181464,3,5,51,0,1,25260,20,67,25.0,76,83,25,75,9,754702649,44368,272388353,202702615,25,19,44,1475090000,284438,21,1349,9,469,22727,5359,1008342236,1084103910,33593,81383,1027,1276,40,6,19,85,2,20182,5078,21460,3800,1117,3696,4029,860,325,139,22,28,20905,203672175,8962,203672175,8962,1239,1011
130943,6,7,30,0,1,22852,16,79,26.5,67,92,15,75,5,790194000,42355,117005000,406304000,12,43,55,1261782826,175724,16,1162,6,0,21325,5990,903231000,953442000,60844,32695,842,1133,52,4,14,90,7,19100,3752,20562,2290,784,2508,4500,891,237,37,24,29,24539,0,0,312293000,14644,1119,839
126818,2,10,63,0,1,30614,22,67,25.0,81,87,21,71,5,838968977,38250,2355000,363593739,0,36,37,425200000,317219,18,1907,8,0,26149,7361,1000200336,1000011256,16260,36811,1094,1700,45,5,20,78,8,23917,6697,23917,6697,1314,4863,5229,1755,251,126,22,28,13995,297089069,11361,297089069,11361,1301,995
155317,4,6,56,0,0,27259,29,61,25.0,93,80,24,63,15,994983111,48842,244734520,289104231,19,23,42,1475157887,311383,16,2590,8,298,24450,6502,1194203648,1265256171,65137,1714,1313,2309,45,10,28,85,5,19245,8014,23046,4213,1869,5791,4082,1467,390,563,22,28,21834,1494880664,61139,1494880664,61139,2169,1287
